k,n,id,orders,generator,P,P_coe,E,E_coe,H,H_coe,D,D_coe,Element,gen_coe,
-1,0,0,0,,,,,,,,,,0,0 0 0 0 0 0 0 0 0 0 0 0,
0,1,0,inf,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0,
0,3,0,inf,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0,
0,5,0,inf,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0,
0,,,,,,,,,,,,,0,,
1,1,0,0,,,,,,,,,,0,0 0 0 0 0 0 0 0 0 0 0 0,
1,3,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0,
1,5,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0,
1,,,,,,,,,,,,,0,,
2,1,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0,
2,3,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0,
2,4,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0,
2,,,,,,,,,,,,,,,
3,1,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0,
3,3,0,3,,,,,1 0 0 0 0 0 0 0 0 0 0 0,"[Toda3]p44,\ H:\pi_{3+k}^3\cong Q_k^1, \ for \ k\neq0",1 0 0 0 0 0 0 0 0 0 0 0,,,1,1 0 0 0 0 0 0 0 0 0 0 0,
3,5,0,3,,,,,1 0 0 0 0 0 0 0 0 0 0 0,HE^{2}=0,,,,1,1 0 0 0 0 0 0 0 0 0 0 0,
3,7,0,3,,,,,1 0 0 0 0 0 0 0 0 0 0 0,HE^{2}=0,,,,1,1 0 0 0 0 0 0 0 0 0 0 0,
3,,,,,,,,,,,,,,,
4,1,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0,
4,3,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0,
4,5,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0,
4,6,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0,
4,,,,,,,,,,,,,,,
5,1,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0,
5,3,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0,
5,5,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0,
